Movie Name,Gross collection,Stars,Genre,Votes
Avengers: Endgame,$858.37M,"['Joe Russo', 'Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo', 'Chris Hemsworth']","Action, Adventure, Drama","1,193,917"
Oldboy,$0.71M,"['Choi Min-sik', 'Yoo Ji-tae', 'Kang Hye-jeong', 'Kim Byeong-Ok']","Action, Drama, Mystery","601,186"
The Dark Knight Rises,$448.14M,"['Christian Bale', 'Tom Hardy', 'Anne Hathaway', 'Gary Oldman']","Action, Drama, Thriller","1,753,420"
Avengers: Infinity War,$678.82M,"['Joe Russo', 'Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo', 'Chris Evans']","Action, Adventure, Sci-Fi","1,136,301"
Kaithi,-,"['Karthi', 'Narain', 'Arjun Das', 'George Maryan']","Action, Adventure, Crime","36,744"
Asuran,-,"['Dhanush', 'Manju Warrier', 'Prakash Raj', 'Pasupathy']","Action, Drama","31,514"
Top Gun: Maverick,$718.73M,"['Tom Cruise', 'Jennifer Connelly', 'Miles Teller', 'Val Kilmer']","Action, Drama","608,492"
Heat,$67.44M,"['Al Pacino', 'Robert De Niro', 'Val Kilmer', 'Jon Voight']","Action, Crime, Drama","682,798"
Star Wars: Episode VI - Return of the Jedi,$309.13M,"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher', 'Billy Dee Williams']","Action, Adventure, Fantasy","1,083,893"
Princess Mononoke,$2.38M,"['Yôji Matsuda', 'Yuriko Ishida', 'Yûko Tanaka', 'Billy Crudup']","Animation, Action, Adventure","410,128"
North by Northwest,$13.28M,"['Cary Grant', 'Eva Marie Saint', 'James Mason', 'Jessie Royce Landis']","Action, Adventure, Mystery","336,297"
Dangal,$12.39M,"['Aamir Khan', 'Sakshi Tanwar', 'Fatima Sana Shaikh', 'Sanya Malhotra']","Action, Biography, Drama","198,976"
Kantara,-,"['Rishab Shetty', 'Kishore Kumar G.', 'Achyuth Kumar', 'Sapthami Gowda']","Action, Adventure, Drama","96,783"
K.G.F: Chapter 2,$6.60M,"['Yash', 'Sanjay Dutt', 'Raveena Tandon', 'Srinidhi Shetty']","Action, Crime, Drama","140,893"
Vikram,-,"['Kamal Haasan', 'Vijay Sethupathi', 'Fahadh Faasil', 'Narain']","Action, Crime, Thriller","64,730"
Shershaah,-,"['Sidharth Malhotra', 'Kiara Advani', 'Shiv Panditt', 'Pranay Pachauri']","Action, Biography, Drama","125,513"
Raatchasan,-,"['Vishnu Vishal', 'Amala Paul', 'Radha Ravi', 'Sangili Murugan']","Action, Crime, Drama","47,443"
Indiana Jones and the Last Crusade,$197.17M,"['Harrison Ford', 'Sean Connery', 'Alison Doody', 'Denholm Elliott']","Action, Adventure","783,169"
Spider-Man: No Way Home,$804.75M,"['Tom Holland', 'Zendaya', 'Benedict Cumberbatch', 'Jacob Batalon']","Action, Adventure, Fantasy","812,830"
Jurassic Park,$402.45M,"['Sam Neill', 'Laura Dern', 'Jeff Goldblum', 'Richard Attenborough']","Action, Adventure, Sci-Fi","1,022,469"
Batman Begins,$206.85M,"['Christian Bale', 'Michael Caine', 'Ken Watanabe', 'Liam Neeson']","Action, Crime, Drama","1,513,739"
1917,$159.23M,"['Dean-Charles Chapman', 'George MacKay', 'Daniel Mays', 'Colin Firth']","Action, Drama, War","628,780"
Die Hard,$83.01M,"['Bruce Willis', 'Alan Rickman', 'Bonnie Bedelia', 'Reginald VelJohnson']","Action, Thriller","905,867"
Kill Bill: Vol. 1,$70.10M,"['Uma Thurman', 'David Carradine', 'Daryl Hannah', 'Michael Madsen']","Action, Crime, Thriller","1,147,286"
V for Vendetta,$70.51M,"['Hugo Weaving', 'Natalie Portman', 'Rupert Graves', 'Stephen Rea']","Action, Drama, Sci-Fi","1,145,644"
Demon Slayer the Movie: Mugen Train,$47.70M,"['Natsuki Hanae', 'Akari Kitô', 'Yoshitsugu Matsuoka', 'Hiro Shimono']","Animation, Action, Adventure","66,009"
Ran,$4.14M,"['Tatsuya Nakadai', 'Akira Terao', 'Jinpachi Nezu', 'Daisuke Ryû']","Action, Drama, War","130,240"
Baahubali 2: The Conclusion,$20.19M,"['Prabhas', 'Rana Daggubati', 'Anushka Shetty', 'Tamannaah Bhatia']","Action, Drama","108,034"
Gangs of Wasseypur,-,"['Manoj Bajpayee', 'Nawazuddin Siddiqui', 'Tigmanshu Dhulia', 'Richa Chadha']","Action, Comedy, Crime","99,868"
Yojimbo,-,"['Toshirô Mifune', 'Eijirô Tôno', 'Tatsuya Nakadai', 'Yôko Tsukasa']","Action, Drama, Thriller","126,668"
K.G.F: Chapter 1,-,"['Yash', 'Srinidhi Shetty', 'Ramachandra Raju', 'Archana Jois']","Action, Crime, Drama","92,505"
